0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.nbcnews.com|politics|white-house|mike-pence-laughs-reports-trump-questioned-his-loyalty-n937551.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.politico.com|news|donald-trump.html,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.postandcourier.com|photo_galleries|president-donald-j-trump-visits-cayce-s-c|collection_29e6b5f4-78ce-11e8-bb0c-cf44c2078748.html.html,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.psychologytoday.com|us|basics|president-donald-trump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.realclearpolitics.com|video|2018|11|14|trump_announces_criminal_justice_reform_redemption_is_at_the_heart_of_the_american_idea.html.html,5,3,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
https|||www.rollcall.com|news|politics|trump-blasts-little-adam-schitt-questions-whitaker-appointment.html,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.rt.com|usa|444349-trump-schiff-insult-twitter|.html,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.scmp.com|news|world|united-states-canada|article|2173770|donald-trump-disputes-report-he-asked-aides-about.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.senate.gov|reference|Legislation|Vetoes|TrumpDJ.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.sunherald.com|news|politics-government|article221654475.html.html,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
