2018-11-18 21:33:07.082922, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1064209246114459648?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.083195, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor'
2018-11-18 21:33:07.083470, 'President Trump', 'twitter.com', 'https://twitter.com/realDonaldTrump/status/1063987157650485249?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet'
2018-11-18 21:33:07.083741, 'President Trump', 'www.twitter.com', 'http://www.twitter.com/realdonaldtrump'
2018-11-18 21:33:07.084019, 'President Trump', 'www.youtube.com', 'https://www.youtube.com/DonaldTrump'
2018-11-18 21:33:07.084380, 'President Trump', 'www.instagram.com', 'http://www.instagram.com/realdonaldtrump'
2018-11-18 21:33:07.084731, 'President Trump', 'www.facebook.com', 'https://www.facebook.com/POTUS/'
2018-11-18 21:33:07.103390, 'President Trump', 'www.whitehouse.gov', 'https://www.whitehouse.gov/people/donald-j-trump/'
2018-11-18 21:33:07.103774, 'President Trump', 'en.wikipedia.org', 'https://en.wikipedia.org/wiki/Donald_Trump'
2018-11-18 21:33:07.104219, 'President Trump', 'www.cnbc.com', 'https://www.cnbc.com/donald-trump/'
2018-11-18 21:33:07.104825, 'President Trump', 'thehill.com', 'https://thehill.com/people/donald-trump'
2018-11-18 21:33:07.105460, 'President Trump', 'www.donaldjtrump.com', 'https://www.donaldjtrump.com/'
2018-11-18 21:33:07.106305, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/specials/politics/president-donald-trump-45'
2018-11-18 21:33:07.107351, 'President Trump', 'www.cnn.com', 'https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html'
2018-11-18 21:33:07.108031, 'President Trump', 'time.com', 'http://time.com/donald-trump-after-hours/'
2018-11-18 21:33:07.108404, 'President Trump', 'www.theatlantic.com', 'https://www.theatlantic.com/magazine/archive/2016/06/the-mind-of-donald-trump/480771/'
2018-11-18 21:33:07.108700, 'President Trump', 'www.aljazeera.com', 'https://www.aljazeera.com/topics/people/donald-trump.html'
2018-11-18 21:33:07.108989, 'President Trump', 'www.forbes.com', 'https://www.forbes.com/profile/donald-trump/'
2018-11-18 21:33:07.109389, 'President Trump', 'www.politico.com', 'https://www.politico.com/news/donald-trump'
2018-11-18 21:33:07.109829, 'President Trump', 'time.com', 'http://time.com/money/5188095/donald-trump-net-worth-2018/'
2018-11-18 21:33:07.110171, 'President Trump', 'www.whitehouse.gov', 'https://www.whitehouse.gov/get-involved/write-or-call/'
2018-11-18 21:33:07.110576, 'President Trump', 'www.businessinsider.com', 'https://www.businessinsider.com/donald-trump-oldest-president-us-history-2016-11'
2018-11-18 21:33:07.110930, 'President Trump', 'en.wikipedia.org', 'https://en.wikipedia.org/wiki/Inauguration_of_Donald_Trump'
2018-11-18 21:33:07.111253, 'President Trump', 'www.nytimes.com', 'http://www.nytimes.com/topic/person/donald-trump'
2018-11-18 21:33:07.111540, 'President Trump', 'www.foxnews.com', 'https://www.foxnews.com/politics/trump-in-exclusive-interview-reveals-obamas-private-guidance-on-greatest-threat-to-the-u-s'
2018-11-18 21:33:07.111822, 'President Trump', 'www.newyorker.com', 'https://www.newyorker.com/tag/donald-trump'
2018-11-18 21:33:07.112164, 'President Trump', 'www.chicagotribune.com', 'https://www.chicagotribune.com/topic/politics-government/donald-trump-PEBSL000163-topic.html'
2018-11-18 21:33:07.112494, 'President Trump', 'www.washingtontimes.com', 'https://www.washingtontimes.com/topics/donald-trump/'
2018-11-18 21:33:07.112785, 'President Trump', 'www.npr.org', 'https://www.npr.org/tags/511343536/president-trump'
2018-11-18 21:33:07.113066, 'President Trump', 'www.washingtonpost.com', 'https://www.washingtonpost.com/politics/what-has-president-trump-learned-from-defeat/2018/11/17/8c105250-ea6e-11e8-bbdb-72fdbf9d4fed_story.html'
2018-11-18 21:33:07.113350, 'President Trump', 'www.youtube.com', 'https://www.youtube.com/watch?v=XgyWQDYWlo0'
2018-11-18 21:33:07.113625, 'President Trump', 'abcnews.go.com', 'https://abcnews.go.com/alerts/donald-trump'
2018-11-18 21:33:07.113906, 'President Trump', 'www.politifact.com', 'https://www.politifact.com/personalities/donald-trump/'
2018-11-18 21:33:07.114180, 'President Trump', 'www.theverge.com', 'https://www.theverge.com/2018/11/18/18101476/steve-carell-saturday-night-live-jeff-bezos-amazon-president-donald-trump-hq2-troll'
2018-11-18 21:33:07.114525, 'President Trump', 'www.c-span.org', 'https://www.c-span.org/person/?donaldtrump'
2018-11-18 21:33:07.114848, 'President Trump', 'www.vanityfair.com', 'https://www.vanityfair.com/people/donald-trump'
2018-11-18 21:33:07.115142, 'President Trump', 'www.washingtonexaminer.com', 'https://www.washingtonexaminer.com/tag/donald-trump'
2018-11-18 21:33:07.115424, 'President Trump', 'projects.fivethirtyeight.com', 'https://projects.fivethirtyeight.com/trump-approval-ratings/'
2018-11-18 21:33:07.115697, 'President Trump', 'www.tmz.com', 'http://www.tmz.com/person/donald-trump/'
2018-11-18 21:33:07.115979, 'President Trump', 'www.imdb.com', 'https://www.imdb.com/name/nm0874339/'
2018-11-18 21:33:07.116261, 'President Trump', 'www.nbcnews.com', 'https://www.nbcnews.com/news/world/finland-s-president-rakes-memory-source-trump-remark-n937736'
2018-11-18 21:33:07.116535, 'President Trump', 'www.scmp.com', 'https://www.scmp.com/topics/donald-trump'
