0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.msn.com|en-us|news|world|finnish-president-i-didnt-talk-to-trump-about-raking-to-prevent-wildfires|ar-BBPReW1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.msnbc.com|rachel-maddow|watch|trump-era-unique-for-violent-extremists-inspired-by-us-president-1354409027794.html,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.news18.com|news|world|would-give-myself-a-plus-trump-says-hes-doing-a-great-job-as-us-president-1942865.html.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.npr.org|2017|02|25|517257273|trump-will-be-first-president-in-36-years-to-skip-white-house-correspondents-din.html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
https|||www.nps.gov|nr|travel|presidents|us_car_number_one.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.pbs.org|wgbh|americanexperience|collections|presidents|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.presidentialserviceawards.gov|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.presidentsusa.net|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.quora.com|Who-is-the-U-S-President.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.rferl.org|a|trump-pakistan-osama|29607940.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.salary.com|articles|history-of-presidential-salaries|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.sanluisobispo.com|news|state|california|article221861285.html.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.senate.gov|artandhistory|history|common|briefing|Vice_President.htm.html,5,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,
https|||www.senate.gov|artandhistory|history|minute|President_For_A_Day.htm.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.senate.gov|committees|SittingPresidentsVicePresidentsWhoHaveTestifiedBeforeCongressionalCommittees.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.senate.gov|senators|SenatorsWhoBecamePresident.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.smithsonianmag.com|history|real-story-football-follows-president-everywhere-180952779|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.state.gov|p|eur|ci|rs|200years|122802.htm.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.state.nj.us|nj|about|famous|presidents.html.html,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.terrapass.com|us-presidents-environmental-legacies.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.theguardian.com|news|datablog|2012|oct|15|us-presidents-listed.html,113,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.thepeninsulaqatar.com|article|19|11|2018|Amir-condoles-with-US-President.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.thoughtco.com|us-presidents-in-american-history-4133351.html,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.titlemax.com|discovery-center|planes-trains-and-automobiles|president-vehicles-throughout-history|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.travelchannel.com|interests|arts-and-culture|photos|presidential-destinations-1.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.u-s-history.com|pages|h579.html.html,20,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usa.gov|presidents.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usatoday.com|story|news|2018|11|17|trump-view-california-fire-devastation-he-blamed-forest-mismanagement|2037886002|.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usatoday.com|story|news|politics|2018|11|16|trumps-epa-president-name-andrew-wheeler-permanent-chief|2026779002|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usnews.com|education|best-colleges|slideshows|us-presidents-who-were-leaders-of-colleges.html,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usnews.com|news|world|articles|2018-11-18|finnish-president-says-he-briefed-trump-on-forest-monitoring.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.voanews.com|a|trump-gives-himself-an-a-plus-as-president|4663827.html.html,3,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vox.com|policy-and-politics|2016|11|11|13587532|donald-trump-no-experience.html,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
http|||australianpolitics.com|usa|president|list-of-presidents-of-the-united-states.html,19,0,1,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,
http|||emilypost.com|advice|addressing-a-former-president-of-the-united-states|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
http|||fortune.com|2018|07|12|best-us-president-barack-obama-pew-survey|.html,6,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
http|||time.com|5458107|trump-northern-california-wildfire|.html,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.let.rug.nl|usa|presidents|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.pewglobal.org|database|indicator|6|survey|all|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.pewresearch.org|fact-tank|2018|10|09|how-the-world-views-the-u-s-and-its-president-in-9-charts|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.yenisafak.com|en|news|us-president-refuses-to-hear-khashoggi-death-tape-3466711.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www2.philly.com|philly|business|personal_finance|impeachment-nixon-clinton-trump-stock-market-democrat-gop-20181118.html.html,5,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,
