0,Democrat,Democrats,Liberal,Liberals,Left-wing,Extremist,Extremists,Zealot,Zealots,Ideologue,Ideologues,Republican,Republicans,Conservative,Conservatives,Right-wing,Hack,Hacks,Elitist,Elitists,Shill,Shills,Snowflake,Snowflakes,
https|||www.trumplatest.com|category|latest-trump-news|.html,3,1,0,0,0,0,0,0,0,0,0,7,3,1,0,0,1,0,0,0,0,0,0,0,
https|||www.trumpmiami.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trumpnationalbedminster.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trumpnationallosangeles.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.trumpwinery.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.twitch.tv|trumpsc.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.usatoday.com|story|news|politics|onpolitics|2018|11|18|trump-tweet-adam-schiff|2048756002|.html,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vanityfair.com|news|2017|12|donald-trump-wines.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.vox.com|2018|11|15|18047360|trump-lies-media-strategy-george-lakoff.html,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
https|||www.washingtonpost.com|world|national-security|trump-attacks-retired-navy-admiral-for-not-capturing-osama-bin-laden-faster|2018|11|18|b3e1bbb0-eb69-11e8-9236-bb94154151d2_story.html.html,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.whitehouse.gov|people|donald-j-trump|.html,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wired.com|story|trump-google-news-algorithm-target|.html,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,
https|||www.wnycstudios.org|shows|trumpinc.html,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.wsj.com|articles|donald-trump-played-central-role-in-hush-payoffs-to-stormy-daniels-and-karen-mcdougal-1541786601.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.youtube.com|DonaldTrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
https|||www.youtube.com|channel|UCsQnAt5I56M-qx4OgCoVmeA.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||donaldtrumpnews.net|.html,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
http|||nymag.com|intelligencer|2018|07|trump-putin-russia-collusion.html.html,16,9,0,0,0,0,0,0,0,0,0,25,7,0,0,0,1,0,0,0,0,0,0,0,
http|||time.com|donald-trump-after-hours|.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||trump.cymru|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||trump.io|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.asuitthatfits.com|offthecuff|donald-trump-post|.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.instagram.com|realdonaldtrump.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.nydailynews.com|tags|donald-trmp|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.nytimes.com|topic|person|donald-trump.html,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.pewglobal.org|2018|10|01|trumps-international-ratings-remain-low-especially-among-key-allies|.html,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
http|||www.rasmussenreports.com|public_content|politics|trump_administration|prez_track_nov16.html,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
http|||www.trump-now.com|.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http|||www.twitter.com|realdonaldtrump.html,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
